PID,NAME,RA,DEC,EPOC
SPLUS,SPLUS-d127,07:06:00,-19:43:26.7769,2000.
SPLUS,SPLUS-d128,07:12:00,-19:43:26.7769,2000.
SPLUS,SPLUS-d129,07:18:00,-19:43:26.7769,2000.
SPLUS,SPLUS-d130,07:24:00,-19:43:26.7769,2000.
SPLUS,SPLUS-d131,07:30:00,-19:43:26.7769,2000.
SPLUS,SPLUS-d132,07:36:00,-19:43:26.7769,2000.
SPLUS,SPLUS-d133,07:42:00,-19:43:26.7769,2000.
SPLUS,SPLUS-d134,07:48:00,-19:43:26.7769,2000.
SPLUS,SPLUS-d135,07:54:00,-19:43:26.7769,2000.
SPLUS,SPLUS-d136,06:27:13.6134,-21:07:14.4295,2000.
SPLUS,SPLUS-d137,06:33:16.6387,-21:07:14.4295,2000.
SPLUS,SPLUS-d138,06:39:19.6639,-21:07:14.4295,2000.
SPLUS,SPLUS-d139,06:45:22.6891,-21:07:14.4295,2000.
SPLUS,SPLUS-d140,06:51:25.7143,-21:07:14.4295,2000.
SPLUS,SPLUS-d141,06:57:28.7395,-21:07:14.4295,2000.
SPLUS,SPLUS-d142,07:03:31.7647,-21:07:14.4295,2000.
SPLUS,SPLUS-d143,07:09:34.7899,-21:07:14.4295,2000.
SPLUS,SPLUS-d144,07:15:37.8151,-21:07:14.4295,2000.
SPLUS,SPLUS-d145,07:21:40.8403,-21:07:14.4295,2000.
SPLUS,SPLUS-d146,07:27:43.8655,-21:07:14.4295,2000.
SPLUS,SPLUS-d147,07:33:46.8908,-21:07:14.4295,2000.
SPLUS,SPLUS-d148,07:39:49.916,-21:07:14.4295,2000.
SPLUS,SPLUS-d149,07:45:52.9412,-21:07:14.4295,2000.
SPLUS,SPLUS-d150,07:51:55.9664,-21:07:14.4295,2000.
SPLUS,SPLUS-d151,07:57:58.9916,-21:07:14.4295,2000.
SPLUS,SPLUS-d152,06:30:30.5085,-22:30:55.9281,2000.
SPLUS,SPLUS-d153,06:36:36.6102,-22:30:55.9281,2000.
SPLUS,SPLUS-d154,06:42:42.7119,-22:30:55.9281,2000.
SPLUS,SPLUS-d155,06:48:48.8136,-22:30:55.9281,2000.
SPLUS,SPLUS-d156,06:54:54.9153,-22:30:55.9281,2000.
SPLUS,SPLUS-d157,07:01:01.0169,-22:30:55.9281,2000.
SPLUS,SPLUS-d158,07:07:07.1186,-22:30:55.9281,2000.
SPLUS,SPLUS-d159,07:13:13.2203,-22:30:55.9281,2000.
SPLUS,SPLUS-d160,07:19:19.322,-22:30:55.9281,2000.
SPLUS,SPLUS-d161,07:25:25.4237,-22:30:55.9281,2000.
SPLUS,SPLUS-d162,07:31:31.5254,-22:30:55.9281,2000.
SPLUS,SPLUS-d163,07:37:37.6271,-22:30:55.9281,2000.
SPLUS,SPLUS-d164,07:43:43.7288,-22:30:55.9281,2000.
SPLUS,SPLUS-d165,07:49:49.8305,-22:30:55.9281,2000.
SPLUS,SPLUS-d166,07:55:55.9322,-22:30:55.9281,2000.
SPLUS,SPLUS-d167,08:02:02.0339,-22:30:55.9281,2000.
SPLUS,SPLUS-d168,06:33:50.7692,-23:54:31.2991,2000.
SPLUS,SPLUS-d169,06:40:00,-23:54:31.2991,2000.
SPLUS,SPLUS-d170,06:46:09.2308,-23:54:31.2991,2000.
SPLUS,SPLUS-d172,06:58:27.6923,-23:54:31.2991,2000.
SPLUS,SPLUS-d174,07:10:46.1538,-23:54:31.2991,2000.
